"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"21-Jul-2014","     7701.65","     7722.10","     7674.00","     7684.20","      105401279","         5794.45"
"22-Jul-2014","     7708.20","     7773.85","     7704.80","     7767.85","      120081148","         6494.69"
"23-Jul-2014","     7794.90","     7809.20","     7752.90","     7795.75","      122119113","         7062.52"
"24-Jul-2014","     7796.25","     7835.65","     7771.65","     7830.60","      117608370","         6271.45"
"25-Jul-2014","     7828.20","     7840.95","     7748.60","     7790.45","      153936037","         7827.61"
