"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2003","     1093.60","     1102.10","     1093.60","     1100.15","       38958168","         1325.90"
"02-Jan-2003","     1100.55","     1105.60","     1091.20","     1093.05","       63892238","         2027.64"
"03-Jan-2003","     1094.45","     1099.85","     1087.30","     1089.60","       61476283","         2048.49"
"06-Jan-2003","     1089.75","     1093.05","     1081.25","     1084.35","       47347534","         1687.65"
"07-Jan-2003","     1084.40","     1089.85","     1078.95","     1081.80","       53731411","         1810.73"
"08-Jan-2003","     1082.40","     1091.45","     1082.30","     1089.35","       51031790","         1656.00"
"09-Jan-2003","     1089.75","     1099.15","     1087.75","     1097.35","       44479270","         1435.45"
"10-Jan-2003","     1097.60","     1103.25","     1077.40","     1080.25","       54047778","         2317.79"
"13-Jan-2003","     1080.25","     1080.40","     1070.75","     1073.75","       46771066","         1776.28"
"14-Jan-2003","     1072.70","     1080.80","     1070.30","     1078.95","       44511095","         1719.38"
"15-Jan-2003","     1077.90","     1087.50","     1077.80","     1085.00","       45491014","         1882.31"
"16-Jan-2003","     1085.05","     1091.35","     1083.95","     1088.35","       45419748","         1604.41"
"17-Jan-2003","     1089.30","     1090.25","     1083.20","     1086.50","       47498203","         1707.84"
"20-Jan-2003","     1086.25","     1087.00","     1074.20","     1076.35","       44276855","         1299.12"
"21-Jan-2003","     1076.30","     1080.50","     1074.10","     1077.90","       50161614","         1407.43"
"22-Jan-2003","     1078.45","     1086.20","     1073.60","     1082.90","       48868230","         1337.83"
"23-Jan-2003","     1081.40","     1083.15","     1069.05","     1070.90","       59861682","         1674.96"
"24-Jan-2003","     1070.60","     1075.20","     1053.40","     1056.05","       61550716","         1886.71"
"27-Jan-2003","     1057.80","     1059.35","     1030.35","     1037.65","       63980714","         1828.36"
"28-Jan-2003","     1036.35","     1047.95","     1026.75","     1046.20","       69969592","         1828.21"
"29-Jan-2003","     1059.80","     1059.80","     1033.30","     1037.20","       71658988","         1784.76"
"30-Jan-2003","     1037.15","     1050.55","     1031.35","     1034.60","       79530492","         2210.42"
"31-Jan-2003","     1034.75","     1044.25","     1026.20","     1041.85","       76707456","         2019.35"
"03-Feb-2003","     1040.25","     1056.60","     1036.50","     1055.30","       47032852","         1480.04"
"04-Feb-2003","     1056.55","     1063.70","     1050.45","     1054.80","       57858399","         1625.58"
"05-Feb-2003","     1054.30","     1054.65","     1041.75","     1047.40","       53799329","         1477.70"
"06-Feb-2003","     1047.25","     1065.95","     1043.70","     1063.60","       48003528","         1439.82"
"07-Feb-2003","     1063.75","     1065.80","     1055.50","     1057.50","       55925333","         1605.44"
"10-Feb-2003","     1058.20","     1058.75","     1047.15","     1048.60","       42872573","         1363.80"
"11-Feb-2003","     1048.60","     1055.80","     1044.55","     1048.00","       47493149","         1617.79"
"12-Feb-2003","     1048.15","     1051.00","     1040.40","     1044.45","       53197866","         1768.60"
"14-Feb-2003","     1044.45","     1047.05","     1034.10","     1036.00","       43897560","         1409.38"
"17-Feb-2003","     1036.20","     1060.50","     1036.20","     1058.20","       49290270","         1563.03"
"18-Feb-2003","     1058.95","     1065.15","     1057.60","     1059.30","       48386712","         1474.17"
"19-Feb-2003","     1059.30","     1068.80","     1059.30","     1064.30","       45848907","         1481.93"
"20-Feb-2003","     1064.15","     1071.70","     1058.35","     1065.60","       51011262","         1558.59"
"21-Feb-2003","     1065.60","     1069.20","     1061.10","     1066.15","       49463111","         1611.82"
"24-Feb-2003","     1066.20","     1075.50","     1066.20","     1070.15","       45246292","         1387.94"
"25-Feb-2003","     1070.10","     1073.25","     1054.90","     1055.55","       34610805","         1126.78"
"26-Feb-2003","     1055.60","     1059.60","     1048.20","     1049.65","       57563920","         1565.48"
"27-Feb-2003","     1049.60","     1057.45","     1044.90","     1052.95","       63410023","         1857.62"
"28-Feb-2003","     1053.65","     1068.65","     1053.65","     1063.40","       82249558","         2536.28"
"03-Mar-2003","     1063.55","     1070.85","     1057.55","     1058.85","       46368797","         1534.22"
"04-Mar-2003","     1058.70","     1058.70","     1045.20","     1046.60","       37230678","         1163.12"
"05-Mar-2003","     1046.55","     1046.55","     1029.90","     1040.70","       52522971","         1544.73"
"06-Mar-2003","     1040.30","     1040.75","     1029.55","     1031.25","       41244807","         1271.17"
"07-Mar-2003","     1031.05","     1031.05","     1014.30","     1017.10","       45653477","         1326.94"
"10-Mar-2003","     1017.10","     1021.50","     1004.35","     1006.70","       41937474","         1328.23"
"11-Mar-2003","     1006.65","     1016.70","      998.95","     1014.55","       49640682","         1453.30"
"12-Mar-2003","     1014.25","     1017.75","     1000.05","     1001.70","       44964940","         1374.57"
"13-Mar-2003","     1001.50","     1006.40","      994.20","      999.65","       47582037","         1421.85"
"17-Mar-2003","      999.70","     1000.85","      982.70","      993.00","       43454602","         1283.69"
"19-Mar-2003","      993.35","     1011.45","      992.90","     1003.90","       47894712","         1511.33"
"20-Mar-2003","     1003.45","     1028.90","     1001.75","     1025.25","       62394776","         1933.37"
"21-Mar-2003","     1025.55","     1033.70","     1022.05","     1030.55","       50206057","         1722.55"
"22-Mar-2003","     1030.60","     1039.80","     1030.60","     1037.15","       19834836","          632.99"
"24-Mar-2003","     1037.15","     1038.55","     1011.95","     1013.90","       42047884","         1389.08"
"25-Mar-2003","     1013.50","     1013.50","      998.40","     1011.30","       46533129","         1503.99"
"26-Mar-2003","     1011.55","     1019.90","     1004.85","     1013.85","       40991502","         1257.20"
"27-Mar-2003","     1013.90","     1013.90","      999.60","     1002.70","       50307563","         1368.17"
"28-Mar-2003","     1002.80","     1006.30","      996.75","     1000.60","       41726885","         1157.82"
"31-Mar-2003","     1000.60","     1000.60","      974.10","      978.20","       41575833","         1207.43"
"01-Apr-2003","      977.40","      992.05","      973.50","      984.30","       50070441","         1472.45"
"02-Apr-2003","      984.45","     1002.10","      984.45","      999.40","       49613799","         1442.03"
"03-Apr-2003","      999.55","     1010.75","      999.55","     1009.15","       48980845","         1564.51"
"04-Apr-2003","     1009.15","     1018.25","     1002.75","     1016.95","       55418219","         1684.67"
"07-Apr-2003","     1017.05","     1033.45","     1017.05","     1031.50","       53490204","         1547.45"
"08-Apr-2003","     1032.00","     1032.00","     1016.60","     1018.10","       49369923","         1392.51"
"09-Apr-2003","     1018.00","     1018.00","     1002.30","     1004.85","       45373972","         1287.27"
"10-Apr-2003","     1003.80","     1003.80","      958.20","      962.20","       73197133","         2687.78"
"11-Apr-2003","      958.90","      965.15","      935.70","      949.80","       83519810","         2785.81"
"15-Apr-2003","      951.80","      964.20","      938.80","      951.20","       59848779","         1891.56"
"16-Apr-2003","      950.65","      961.75","      949.00","      958.65","       52698724","         1674.66"
"17-Apr-2003","      958.65","      958.65","      936.70","      940.70","       47281254","         1484.81"
"21-Apr-2003","      941.50","      949.70","      941.50","      947.20","       51700926","         1229.23"
"22-Apr-2003","      947.10","      951.40","      937.85","      943.50","       65115537","         1439.99"
"23-Apr-2003","      943.75","      951.20","      931.50","      934.20","       66282840","         1528.85"
"24-Apr-2003","      934.20","      943.15","      927.80","      929.70","      107328010","         2339.15"
"25-Apr-2003","      929.45","      931.35","      921.10","      924.30","       65197821","         1481.77"
"28-Apr-2003","      922.85","      931.05","      920.00","      929.50","       62369319","         1283.72"
"29-Apr-2003","      929.75","      936.90","      929.75","      932.30","       57870020","         1321.44"
"30-Apr-2003","      935.25","      935.55","      929.85","      934.05","       63802968","         1301.64"
"02-May-2003","      930.90","      940.20","      930.80","      938.30","       62768613","         1338.68"
"05-May-2003","      937.45","      948.95","      936.65","      945.40","       65759521","         1365.44"
"06-May-2003","      945.85","      955.00","      943.20","      951.85","       71311687","         1853.59"
"07-May-2003","      950.40","      956.65","      948.90","      950.15","       69371421","         1789.93"
"08-May-2003","      950.15","      951.30","      938.70","      941.55","       66562642","         1737.66"
"09-May-2003","      941.60","      941.65","      935.80","      937.85","       51202220","         1435.68"
"12-May-2003","      938.50","      944.45","      934.00","      936.00","       45850053","         1408.73"
"13-May-2003","      936.90","      945.80","      936.70","      944.20","       55131529","         1542.92"
"14-May-2003","      944.20","      953.45","      943.15","      952.15","       50634950","         1269.86"
"15-May-2003","      952.15","      961.60","      951.15","      959.85","       49127274","         1167.80"
"16-May-2003","      959.85","      974.40","      959.85","      973.10","       53821532","         1404.54"
"19-May-2003","      973.70","      979.85","      964.60","      966.55","       61264454","         1694.86"
