"Date",				"Open","		High","			Low","		  Close","	    Shares Traded","	Turnover (Cr)"

"01-Jan-2015","     8272.80","     8294.70","     8248.75","     8284.00","       56560411","         2321.88"
"02-Jan-2015","     8288.70","     8410.60","     8288.70","     8395.45","      101887024","         4715.72"
"05-Jan-2015","     8407.95","     8445.60","     8363.90","     8378.40","      118160545","         5525.52"
"06-Jan-2015","     8325.30","     8327.85","     8111.35","     8127.35","      172799618","         8089.19"
"07-Jan-2015","     8118.65","     8151.20","     8065.45","     8102.10","      164075424","         7464.33"
"08-Jan-2015","     8191.40","     8243.50","     8167.30","     8234.60","      143802802","         8147.40"
"09-Jan-2015","     8285.45","     8303.30","     8190.80","     8284.50","      152612528","         9305.95"
