
Generating Trend... 

Date 		  Closing 	  Delta       Movement 	    Trend 
03-Apr-2014       6736.10         -16         Down          Reverse
04-Apr-2014       6694.35         -41         Down          Follows
07-Apr-2014       6695.05         0           Up            Reverse
09-Apr-2014       6796.20         101         Up            Follows
10-Apr-2014       6796.40         0           Up            Follows
11-Apr-2014       6776.30         -20         Down          Reverse
15-Apr-2014       6733.10         -43         Down          Follows
16-Apr-2014       6675.30         -57         Down          Follows
17-Apr-2014       6779.40         104         Up            Reverse
21-Apr-2014       6817.65         38          Up            Follows
22-Apr-2014       6815.35         -2          Down          Reverse
23-Apr-2014       6840.80         25          Up            Reverse
25-Apr-2014       6782.75         -58         Down          Reverse
28-Apr-2014       6761.25         -21         Down          Follows
29-Apr-2014       6715.25         -46         Down          Follows
30-Apr-2014       6696.40         -18         Down          Follows

02-May-2014       6694.80         -1          Down          Follows
05-May-2014       6699.35         4           Up            Reverse
06-May-2014       6715.30         15          Up            Follows
07-May-2014       6652.55         -62         Down          Reverse
08-May-2014       6659.85         7           Up            Reverse
09-May-2014       6858.80         198         Up            Follows
12-May-2014       7014.25         155         Up            Follows
13-May-2014       7108.75         94          Up            Follows
14-May-2014       7108.75         0           Up            Follows
15-May-2014       7123.15         14          Up            Follows
16-May-2014       7203.00         79          Up            Follows
19-May-2014       7263.55         60          Up            Follows
20-May-2014       7275.50         11          Up            Follows
21-May-2014       7252.90         -22         Down          Reverse
22-May-2014       7276.40         23          Up            Reverse
23-May-2014       7367.10         90          Up            Follows
26-May-2014       7359.05         -8          Down          Reverse
27-May-2014       7318.00         -41         Down          Follows
28-May-2014       7329.65         11          Up            Reverse
29-May-2014       7235.65         -94         Down          Reverse
30-May-2014       7229.95         -5          Down          Follows

02-Jun-2014       7362.50         132         Up            Reverse
03-Jun-2014       7415.85         53          Up            Follows
04-Jun-2014       7402.25         -13         Down          Reverse
05-Jun-2014       7474.10         71          Up            Reverse
06-Jun-2014       7583.40         109         Up            Follows
09-Jun-2014       7654.60         71          Up            Follows
10-Jun-2014       7656.40         1           Up            Follows
11-Jun-2014       7626.85         -29         Down          Reverse
12-Jun-2014       7649.90         23          Up            Reverse
13-Jun-2014       7542.10         -107        Down          Reverse
16-Jun-2014       7533.55         -8          Down          Follows
17-Jun-2014       7631.70         98          Up            Reverse
18-Jun-2014       7558.20         -73         Down          Reverse
19-Jun-2014       7540.70         -17         Down          Follows
20-Jun-2014       7511.45         -29         Down          Follows
23-Jun-2014       7493.35         -18         Down          Follows
24-Jun-2014       7580.20         86          Up            Reverse
25-Jun-2014       7569.25         -10         Down          Reverse
26-Jun-2014       7493.20         -76         Down          Follows
