"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jul-2015","     8376.25","     8481.60","     8370.15","     8453.05","      135887471","         6938.05"
"02-Jul-2015","     8471.95","     8479.25","     8433.20","     8444.90","      115472141","         6065.26"
"03-Jul-2015","     8440.10","     8497.75","     8424.15","     8484.90","       91142979","         4983.21"
"06-Jul-2015","     8386.15","     8533.15","     8386.15","     8522.15","      104578132","         5517.86"
"07-Jul-2015","     8525.50","     8561.35","     8483.85","     8510.80","      126038231","         6054.41"
"08-Jul-2015","     8439.20","     8457.50","     8341.40","     8363.05","      193886999","         8876.81"
"09-Jul-2015","     8364.85","     8400.30","     8323.00","     8328.55","      135358659","         6610.40"
"10-Jul-2015","     8365.70","     8377.10","     8315.40","     8360.55","      158883926","         8128.47"
"13-Jul-2015","     8397.25","     8471.65","     8355.40","     8459.65","      121380175","         6506.28"
"14-Jul-2015","     8470.60","     8480.25","     8424.10","     8454.10","      104893796","         5454.41"
"15-Jul-2015","     8463.40","     8531.40","     8462.95","     8523.80","      108835522","         5805.53"
"16-Jul-2015","     8546.15","     8616.10","     8542.90","     8608.05","      119637042","         6544.15"
"17-Jul-2015","     8623.65","     8642.95","     8593.15","     8609.85","      108190401","         5713.13"
"20-Jul-2015","     8623.90","     8624.10","     8559.00","     8603.45","       93439295","         5107.62"
"21-Jul-2015","     8601.50","     8646.75","     8517.90","     8529.45","      169151098","        10699.52"
"22-Jul-2015","     8512.25","     8643.90","     8498.65","     8633.50","      141018383","         7427.34"
"23-Jul-2015","     8643.95","     8654.75","     8573.80","     8589.80","      136962516","         7747.81"
"24-Jul-2015","     8588.15","     8589.15","     8513.50","     8521.55","      131344832","         6942.22"
"27-Jul-2015","     8492.10","     8492.20","     8351.55","     8361.00","      140828066","         7353.09"
"28-Jul-2015","     8371.10","     8397.40","     8321.75","     8337.00","      179983810","         8403.15"
"29-Jul-2015","     8365.60","     8381.50","     8338.45","     8375.05","      145399010","         7232.34"
"30-Jul-2015","     8417.00","     8458.90","     8408.30","     8421.80","      221939186","        10007.30"
"31-Jul-2015","     8456.10","     8548.95","     8448.00","     8532.85","      209629301","         9522.19"
