"Date",				"Open","		High","			Low","		  Close","	    Shares Traded","	Turnover (Cr)"

"22-Dec-2014","     8255.00","     8330.95","     8228.20","     8324.00","      139159658","         5745.04"
"23-Dec-2014","     8324.60","     8364.75","     8252.85","     8267.00","      132190368","         5629.52"
"24-Dec-2014","     8272.05","     8286.40","     8155.25","     8174.10","      221905876","        11229.76"
"26-Dec-2014","     8204.80","     8234.55","     8147.95","     8200.70","       75528707","         2995.12"
